jid,prompt,summary
91635,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: corner was conceived by the respondent, he could not get it registered as a
new design as envisaged under Section 2(5) of the Act. Some thinking or mental
process has to be gone into while effecting even a small change/variation in
the existing design. When it is said that the design should be original or new
it does does not mean that it should be a copy or an immitation or a variation
of the existing design. It should be something likeinventive. By making the
corners from sharp to round, it cannot be said that some new design has been
created from ane's own mind and thought. 'New'would be something you develop
and which was not earlier in existence. It should be striking new design.
Round corner tiles may look fresh, but I would not say that there is any novel
idea involved in bringing out a tile with roundcorner.
(29) If I apply the law and the principles as enunciated in the judgments
referred to above, the design in question would merely be a trade variant of
the existing design of tiles with sharp corners and mottling effect. Both THE
designs are for all practical purposes the same. It cannot be said that THE
design which has been got registered by the respondent is something new or
original.
(30) I would, therefore, allow the petition and would cancel the designNo.
150873 in clause 4 in respect of tiles. There will, however, be no order asto
costs.


Write a summary of this court judgment.[/INST]","  The court judgment is about a dispute over a design registration for tiles with round corners. The respondent had registered the design, but the petitioner argued that it was not original or new as it was just a variation of an existing design with sharp corners. The court agreed with the petitioner and canceled the design registration, stating that the design was not inventive or striking enough to be considered new. The court also noted that the design was merely a trade variant of the existing design and did not meet the requirements of being original or new as per the Act."
374340,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: Court dated 19.9.1991 on which the counsel for the respondent placed reliance,
does not lay down the correct law in view of the three-Judge decision already
referred to as well as the decision of this Court in Ranjit Singh's case. In
this view of the matter, we have no other alternative than to allow these
appeals and set aside the impugned judgment of the High Court.""
7\. As per facts on record, the notifications under Sections 4 and 6 of the
Act were published in the extraordinary gazetted of the State Government on
3.2.1978. After the said publication, the award was announced on 28.12.1979
and the compensation in terms of the award was deposited with the Land
Acquisition Collector vide cheque dated 22.8.1980. The dispute is regarding
taking over of possession by the Section on 20.3.1978. Even if the possession
has not been taken on the said date, the said fact is in consequential in view
of the judgment of the Hon'ble Supreme Court referred to above wherein it has
been held that 1979 Instructions are contrary to the provisions contained in
the Act and will not amount to termination of acquisition proceedings even if
the possession is not taken within one year.
Thus, the judgment of the learned Single Judge is contrary to the law
enunciated by the Hon'ble Supreme Court and, therefore, the present appeal is
allowed and the judgment dated 4.3.1994 is set aside. Consequently, the writ
petition is dismissed with no order as to costs.


Write a summary of this court judgment.[/INST]","  The court judgment is regarding an appeal against a High Court judgment in a land acquisition case. The Supreme Court has held that the instructions issued in 1979 are contrary to the provisions of the Act and do not terminate acquisition proceedings even if possession is not taken within one year. Therefore, the judgment of the learned Single Judge is contrary to the law enunciated by the Hon'ble Supreme Court, and the present appeal is allowed. The impugned judgment of the High Court is set aside, and the writ petition is dismissed with no order as to costs."
1132299,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: trade mark, (1886) 31 Ch. D. 454, (involving the present ""Milk-Maid"" mark) and
distinguished it on the ground that the defendants in this case were not
selling condensed milk in tins or cans having the same size. type and shape as
are the tins used by the plaintiffs in packing their condensed milk; they are
dealing with biscuits and toffees which are not produced by the plaintiffs.
(48) In the above view it is not necessary to go into the further contention
raised as to whether the plaintiffs are entitled to use the word ""Milkmaid"" in
English separately when the registered trade mark is ""Milkmaid Brand"".
(49) We have only to reiterate what we have already stated that the question
whether apart from infringement of trade mark and passing off' the plaintiffs
are entitled to any relief on any other footing does not fall to be considered
in this appeal in view of the submission? before the learned single Judge
having been restricted to only two aspects. namely, infringement of trade mark
and passing off.
(50) In the result we hold that the plaintiffs have not made out any prima
facie case for the grant of the injunction sought for by them or for any other
allied relief pending disposal of the suit and that the learned single Judge,
with respect, rightly dismissed the plaintiffs' application for interim
relief. In the result the appeal is dismissed but in the circumstances without
costs. C. M454/72 is also dismissed.


Write a summary of this court judgment.[/INST]","  The court judgment is regarding a trade mark infringement and passing off case involving the ""Milk-Maid"" mark. The defendants were not selling condensed milk in tins or cans similar to the plaintiffs, but were dealing with biscuits and toffees. The court held that the plaintiffs have not made out a prima facie case for the grant of an injunction or any other relief, and therefore dismissed the appeal and the application for interim relief. The court also stated that the question of whether the plaintiffs are entitled to use the word ""Milkmaid"" in English separately from the registered trade mark ""Milkmaid Brand"" does not fall to be considered in this appeal."
70487596,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: > 12\. It is a commercial dispute and the Court dealing with the commercial
> matters should not have a narrow approach, as the Court has to examine the
> application from commercial angle, though the same is subject to the
> condition that a valid case for amendment is made out, once the said
> condition is fulfilled, the prayer has to be allowed. The judgment rendered
> by the Supreme Court and the order CS(OS) No.2934/2011 Page 11 of 12 passed
> by the Division Bench on 3rd December, 2015 have the binding effect.
13\. In the present case, all the conditions are fulfilled. Thus, there is no
impediment in allowing the application for amendment. The prayer in the
present application is allowed. The amended plaint filed along with the
application is taken on record.
14\. The application is disposed of.
CS(OS) No.2934/2011, I.A. No.702/2015 (u/o VIII R.1 CPC), I.A. No.1732/2015
(u/o VII R.11 CPC), I.A. No.1733/2015 (u/o XII R.6 CPC) and I.A. No.1752/2015
(u/o VI R. XVI CPC) In view of the order passed in I.A. No.23988/2015, let the
deficient Court fee be furnished within two weeks. Written statement, if any,
to the amended plaint be filed within four weeks. Replication, if any, be
filed within two weeks thereafter.
List the pending applications on 16th March, 2016.
(MANMOHAN SINGH) JUDGE JANUARY 04, 2016 CS(OS) No.2934/2011 Page 12 of 12


Write a summary of this court judgment.[/INST]","  This court judgment is regarding an application for amendment of a plaint in a commercial dispute case. The court allows the application for amendment, citing that the Supreme Court's judgment and the Division Bench's order have a binding effect. The court finds that all the conditions for allowing the amendment are fulfilled. The amended plaint is taken on record, and the application is disposed of. The court also directs the parties to file their written statements and replications within the specified timeframe. The pending applications are listed for hearing on March 16, 2016."
60799,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: > Legislative Assemblies. The Civil Appeal No. 3645 of 1989 and Transferred
> Cases Nos. 5 and 7 of 1992 are allowed accordingly. Civil Appeal Nos. 193
> and 194 of 1989 relating to Nagaland are disposed of in terms of the opinion
> expressed by us on the meaning and purport of Article 74(2) of the
> Constitution.
> (12) The Proclamations dated January 15, 1993 in respect of Madhya Pradesh,
> Rajasthan and Himachal Pradesh concerned in Civil Appeal Nos. 1692,1692-A to
> 1692-C of 1993, 4627-4630 of 1993, Transferred Case (C) No. 9 of 1993 and
> Transferred Case No. 8 of 1993 respectively are not unconstitutional. The
> Civil Appeals are allowed and the judgment of the High Court of Madhya
> Pradesh in  299 M.P. (C) No. 237 of 1993 is set aside. The transferred cases
> are dismissed.
435\. In the light of the reasons given and conclusions recorded hereinabove,
we find ourselves in agreement with the conclusions 1, 2 and 4 to 7 in the
judgment of our learned Brother Sawant, J. delivered on behalf of himself and
Kuldip Singh, J. We are also in broad agreement with conclusion 8 in the said
judgment.
436\. No orders on interlocutory applications.
437\. There shall be no order as to costs in these matters.
304


Write a summary of this court judgment.[/INST]","  The Supreme Court of India allowed several civil appeals and transferred cases related to the constitutionality of Proclamations issued by the Governors of Madhya Pradesh, Rajasthan, and Himachal Pradesh. The Court held that the Proclamations were not unconstitutional, and set aside the judgment of the High Court of Madhya Pradesh. The Court also dismissed the transferred cases. The judgment was delivered by a bench of three judges, with one judge writing a separate opinion agreeing with the conclusions of the majority. The Court ordered no costs to be awarded in the matter."
380655,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: made on 27th November, 2004 i.e. after more than six years of communication of
the said order. Hence, it was clearly time barred.
16\. From the records, it appears that the appellate order passed on 31st
August, 1998 was communicated to the assessing authority vide Memo No. 2177
dated 5th November, 1998. The respondent obtained a certified copy of the same
in January, 1999. Memo No. 204 dated 6th August, 2003, as referred to by the
counsel for the State is the second time communication, which was only a
reminder. Thus, the appellate order having been communicated to the assessing
authority vide Memo No. 2177 dated 5th November, 1998 for the purposes of
limitation the period will start from 5th November, 1998 and will be complete
on 5th November, 2000 i.e. two years from the date of communication of such
order to the assessing authority. We accordingly hold that the assessment
order made after remand on 27th November, 2004 and the consequential demand of
notice raised in pursuance of such order of re- assessment, all dated 29th
November, 2004 are time-barred under Section 24 of the Bihar Finance Act.
17\. However, the contention of the respondent herein is that the assessment
should be directed to be completed on the basis that the rate of tax would be
8%. As at present advised, this Court need not go into the said question.
18\. Thus we find no infirmity in the impugned judgment. The appeal is
accordingly dismissed. No costs.


Write a summary of this court judgment.[/INST]","  The court judgment is regarding a case where the appellant challenged the assessment order made by the assessing authority after remand, on the grounds that it was time-barred under Section 24 of the Bihar Finance Act. The court held that the appellate order passed on 31st August, 1998 was communicated to the assessing authority on 5th November, 1998, and therefore, the period of limitation for the assessment order started from 5th November, 1998 and ended on 5th November, 2000. The court further held that the assessment order made on 27th November, 2004 and the consequential demand of notice raised in pursuance of such order of re-assessment, all dated 29th November, 2004 were time-barred. The court dismissed the appeal and upheld the impugned judgment."
1213021,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: goods by the recipient unit and their utilization. The Tribunal completely
overlooked the object and purpose of the procedure laid down in Chapter X. The
goods manufactured at the supplier end were excisable goods and if a party
wants remission of duty, he has to follow certain pre- requisities, the object
of which is to see that the goods be not diverted or utilized for some other
purpose, on the guise of the exemption notification. Detailed procedures have
been laid down in Chapter X so as to curb the diversion and misutilization of
goods which are otherwise excisable. The plea of ""substantial compliance"" and
""intended use"" is, therefore, rejected for the reasons already stated.
34
35\. Consequently, Civil Appeal Nos. 1878-1880 of 2004 and Civil Appeal Nos.
568-569 of 2009 preferred by the Revenue would stand allowed and Civil Appeal
No. 1631 of 2001 shall stand dismissed. There will be no order as to costs.
................................................CJI (S. H. KAPADIA)
...................................................J. (B. SUDERSHAN REDDY)
...................................................J. (K. S. PANICKER
RADHAKRISHNAN) ...................................................J. (SURINDER
SINGH NIJJAR) ...................................................J. (SWATANTER
KUMAR) New Delhi;
November 18, 2010.


Write a summary of this court judgment.[/INST]","  The Supreme Court of India has allowed the civil appeals filed by the Revenue (Civil Appeal Nos. 1878-1880 of 2004 and Civil Appeal Nos. 568-569 of 2009) and dismissed the civil appeal filed by the assessee (Civil Appeal No. 1631 of 2001). The court held that the Tribunal had overlooked the object and purpose of the procedure laid down in Chapter X, which is to prevent the diversion or misutilization of excisable goods. The court rejected the assessee's plea of ""substantial compliance"" and ""intended use"" and held that the goods manufactured at the supplier end were excisable goods and the party seeking remission of duty must follow the pre-requisites laid down in Chapter X. The court also held that there will be no order as to costs."
623494,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: the very basis of the claim.
We cannot allow the order of the Commissioner dated 19.3.199 to remain alive
even for a moment. It is the byproduct of fraud and cheating. We, therefore,
set aside the impugned judgment and restore the order passed by the
Commissioner on 11.10.1999. As already a long period of six years has been
wasted we direct the Commissioner to expedite the proceedings and dispose of
the claim without any further delay.
Before disposing of this appeal we deem it necessary to make one more
direction which, in our opinion, is required for completion of the even course
of justice. The Bar Council of the State of Haryana should hold an inquiry
into the allegations made by the petitioner against the advocate Rajpal Panwar
of Jagadhri as to whether he had played a chicanery to defraud the petitioner
by obtaining his thumb impression and paying Rs.9,500/-. We restrain ourselves
from making any observation on the merits of the allegations made against the
aforesaid advocate. We direct the Registry of this Court to forward a copy of
this judgment to the Secretary of the Bar Council of the Haryana. This is to
enable the said Bar Council to adopt such steps as they deem fit and necessary
for disposal of the disciplinary proceedings as against the said Rajpal
Panwar, Advocate, Jagadhri.
J [ K.T. Thomas ] J [ S.N. Variava ] November 2, 2001.


Write a summary of this court judgment.[/INST]","  The court judgment is regarding an appeal against an order passed by a Commissioner on 19.3.1999. The court sets aside the impugned judgment and restores the order passed by the Commissioner on 11.10.1999. The court also directs the Commissioner to expedite the proceedings and dispose of the claim without any further delay. Additionally, the court directs the Bar Council of the State of Haryana to hold an inquiry into allegations made by the petitioner against advocate Rajpal Panwar of Jagadhri regarding fraudulent behavior. The court restrains itself from making any observation on the merits of the allegations and directs the Registry to forward a copy of the judgment to the Secretary of the Bar Council of Haryana for necessary action."
1334665,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: spoke might differ from each other--United States v. Trans-Missouri Freight
Association(3).'' This rule of exclusion has not always been adhered to in
America, and sometimes distinction is made between using such material to
ascertain the purpose of a statute and using it for ascertaining its meaning.
It would seem that the rule is adopted in Canada and Australia --see Craies on
Statute Law, 5th Ed., p. 122.
(1) (895) 22 I.A. Io7,118.
(2)[1950] S.C.R.88.
(3) 169 U.S.290,318.
144 1122
In the result, agreeing with the conclusion of the High Court, though on
different grounds, we dismiss the appeals with costs.
Appeals dismissed.
Agent for the appellants: P.A. Mehta.
Agent for the respondent in C.A. No. 25 of 52: M.S.K. Sastri.
Agent for the respondent in C.A. No. 28 of 52: Sardar Bahadur.
Agent for the respondent in C.A. No. 29 of 52: V.P.K. Nambiyar.
Agent for the Interveners (Union of India, State of Bombay, State of Madras,
State of Hyderabad, State of Punjab, State of MysOre, and State of Orissa):
P.A. Mehta. Agent for the State of Uttar Pradesh: C.P. Lal.


Write a summary of this court judgment.[/INST]","  The summary of this court judgment is that the appeals filed by the appellants have been dismissed with costs by the court. The court has agreed with the conclusion of the High Court, but on different grounds. The case refers to the rule of exclusion, which states that extrinsic materials cannot be used to ascertain the meaning of a statute. However, the court notes that this rule has not always been followed in America, and a distinction is sometimes made between using extrinsic materials to ascertain the purpose of a statute and using them to ascertain its meaning. The court also mentions that the rule is adopted in Canada and Australia. The agents for the appellants, respondents, and interveners are listed at the end of the judgment."
611025,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: one of the officers of the court who may be appointed for the purpose of
fixing the market price thereof. However, the price fetched by way of sale of
three flats shall be invested in a fixed deposit in a nationalized bank and
the interest accruing thereupon shall enure to the benefit of successful party
in the suit.. II. (i) The Appellants in Civil Appeal arising out of SLP (C)
Nos. 843- 44 of 2006 may let out the commercial property in their possession.
However, as offered by the Appellants themselves, they shall deposit 50% of
the amount after deducting expenditure therefrom and the requisite amount of
tax in a fixed deposit in a nationalized bank as may be directed by the
learned Trial Judge. (ii) Even for the said purpose, a receiver may be
appointed by the learned Trial Judge.
III. It would be open to the learned Trial Judge to pass any other or further
order if and when any occasion arises therefor. IV. We are informed that the
plaintiffs have filed affidavits of their witnesses. The learned Trial Judge
may complete the hearing of the suit as expeditiously as possible. Save and
except for cogent reasons, the hearing of the suit may not be adjourned. We
would request the learned Trial Judge to dispose of the suit expeditiously and
preferably within six months from the date of receipt of a copy of this order.
The appeals are allowed to the extent mentioned hereinabove. Costs of these
appeals shall abide by the result of the suit.


Write a summary of this court judgment.[/INST]","  This court judgment is allowing an appeal in a civil case and issuing directions for the disposal of the suit. The case involves a dispute over the sale of three flats, and the court has appointed a receiver to manage the properties and deposit 50% of the sale proceeds in a fixed deposit in a nationalized bank. The interest accruing from this deposit will benefit the successful party in the suit. The court has also directed the trial judge to complete the hearing of the suit as expeditiously as possible and dispose of it preferably within six months from the date of receipt of a copy of this order. The costs of the appeal will abide by the result of the suit."
