doc_id,bertscore_p,bertscore_r,bertscore_f1
91635,0.534994,0.6734154,0.59627676
374340,0.635574,0.8443355,0.7252304
1132299,0.63420516,0.80951715,0.7112171
70487596,0.4831831,0.6919023,0.5690063
60799,0.4886328,0.6609679,0.5618831
380655,0.6417969,0.79507285,0.7102597
1213021,0.44832233,0.7492764,0.5609848
623494,0.6412593,0.8010489,0.71230274
1334665,0.4917019,0.7120296,0.58170164
611025,0.5949189,0.7617523,0.66807765
795465,0.72445446,0.7843144,0.75319695
31239895,0.6736753,0.74519336,0.7076319
139299795,0.5670159,0.7372654,0.64102924
248715,0.67437685,0.80867374,0.7354447
1239673,0.65578175,0.7461474,0.69805217
113963352,0.6306595,0.7547966,0.68716675
1878548,0.5231596,0.7535944,0.617582
314044,0.6455116,0.72084486,0.6811015
138192511,0.59770334,0.6724224,0.6328651
14898186,0.6725794,0.7919158,0.72738546
1165503,0.65271604,0.77356637,0.70802134
8919089,0.58841705,0.7308198,0.6519327
110813550,0.61513466,0.65456134,0.63423586
4354,0.56542486,0.72187126,0.63414156
54865315,0.6785397,0.77471995,0.723447
7926018,0.6460319,0.7473497,0.69300723
174974,0.59031415,0.7198266,0.64866894
1586918,0.5906693,0.746171,0.65937614
115718142,0.65950453,0.65098464,0.65521693
1877956,0.67931217,0.7987623,0.73421055
1548289,0.5798366,0.72434986,0.6440867
155579055,0.69992965,0.5757377,0.6317883
36937,0.64919066,0.7633548,0.70165926
1035719,0.5839163,0.7082237,0.64009064
856194,0.63278,0.7034012,0.66622436
938898,0.67272246,0.74249864,0.7058904
919121,0.5871903,0.744405,0.65651685
685234,0.5018546,0.68792355,0.58033943
1822024,0.6406935,0.77252036,0.7004584
1418391,0.6211555,0.7743463,0.6893426
1011356,0.53574467,0.74441653,0.6230734
491934,0.6713475,0.7416951,0.7047702
1328814,0.5841756,0.713885,0.64254963
1767393,0.56689996,0.718969,0.6339425
800341,0.63994724,0.7018467,0.6694692
1462242,0.7155899,0.7870468,0.7496193
1401567,0.65139574,0.7633437,0.7029405
399708,0.675281,0.76658773,0.7180433
1543623,0.68021643,0.81772506,0.7426592
1006709,0.6213013,0.72759527,0.67026025
